"audio,labels"
"anurans/LEEC02__0__20161129_183000_ma_min_10.wav,anurans"
"anurans/LEEC02__0__20161231_200000_aa_min_02.wav,anurans"
"anurans/LEEC02__0__20170105_200000_aa_min_02.wav,anurans"
"anurans/LEEC02__0__20170114_183000_aa_min_02.wav,anurans"
"anurans/LEEC02__0__20170114_221500_aa_min_02.wav,anurans"
"anurans/LEEC02__0__20170116_183000_aa_min_10.wav,anurans"
"anurans/LEEC02__0__20170116_213000_aa_min_10.wav,anurans"
"anurans/LEEC02__0__20170118_191500_aa_min_10.wav,anurans"
"anurans/LEEC02__0__20170118_213000_aa_min_02.wav,anurans"
"anurans/LEEC02__0__20170118_213000_aa_min_10.wav,anurans"
"anurans/LEEC02__0__20170119_183000_aa_min_02.wav,anurans"
"anurans/LEEC02__0__20170120_213000_aa_min_10.wav,anurans"
"anurans/LEEC02__0__20170123_183000_aa_min_10.wav,anurans"
"anurans/LEEC02__0__20170127_221500_aa_min_10.wav,anurans"
"anurans/LEEC03__0__20161020_191500_ma_min_02.wav,anurans"
"anurans/LEEC03__0__20161027_183000_ma_min_10.wav,anurans"
"anurans/LEEC03__0__20161102_191500_ma_min_10.wav,anurans"
"anurans/LEEC03__0__20161102_204500_ma_min_10.wav,anurans"
"anurans/LEEC03__0__20161103_204500_ma_min_02.wav,anurans"
"anurans/LEEC03__0__20161116_191500_ma_min_10.wav,anurans"
"anurans/LEEC03__0__20161118_200000_ma_min_02.wav,anurans"
"anurans/LEEC03__0__20161121_204500_aa_min_02.wav,anurans"
"anurans/LEEC03__0__20161127_200000_aa_min_10.wav,anurans"
"anurans/LEEC03__0__20161127_204500_aa_min_10.wav,anurans"
"anurans/LEEC03__0__20161128_200000_aa_min_02.wav,anurans"
"anurans/LEEC03__0__20161128_204500_aa_min_02.wav,anurans"
"anurans/LEEC03__0__20161201_191500_aa_min_02.wav,anurans"
"anurans/LEEC03__0__20161203_213000_aa_min_10.wav,anurans"
"anurans/LEEC03__0__20161204_221500_aa_min_10.wav,anurans"
"anurans/LEEC03__0__20170102_183000_br_min_10.wav,anurans"
"anurans/LEEC03__0__20170104_200000_br_min_10.wav,anurans"
"anurans/LEEC03__0__20170104_213000_br_min_10.wav,anurans"
"anurans/LEEC03__0__20170107_183000_br_min_02.wav,anurans"
"anurans/LEEC03__0__20170109_191500_br_min_02.wav,anurans"
"anurans/LEEC03__0__20170112_204500_br_min_02.wav,anurans"
"anurans/LEEC03__0__20170115_200000_br_min_02.wav,anurans"
"anurans/LEEC03__0__20170119_221500_br_min_10.wav,anurans"
"anurans/LEEC04__0__20161231_200000_br_min_10.wav,anurans"
"anurans/LEEC04__0__20170107_213000_br_min_02.wav,anurans"
"anurans/LEEC04__0__20170107_221500_br_min_02.wav,anurans"
"anurans/LEEC04__0__20170110_204500_br_min_02.wav,anurans"
"anurans/LEEC04__0__20170111_183000_br_min_02.wav,anurans"
"anurans/LEEC04__0__20170118_183000_br_min_02.wav,anurans"
"anurans/LEEC04__0__20170119_191500_br_min_10.wav,anurans"
"anurans/LEEC04__0__20170120_183000_br_min_10.wav,anurans"
"anurans/LEEC04__0__20170125_200000_br_min_02.wav,anurans"
"anurans/LEEC04__0__20170127_200000_br_min_10.wav,anurans"
"anurans/LEEC05__0__20161020_191500_ma_min_10.wav,anurans"
"anurans/LEEC05__0__20161022_204500_ma_min_02.wav,anurans"
"anurans/LEEC05__0__20161026_221500_ma_min_02.wav,anurans"
"anurans/LEEC05__0__20161026_221500_ma_min_10.wav,anurans"
"anurans/LEEC05__0__20161027_221500_ma_min_10.wav,anurans"
"anurans/LEEC05__0__20161103_183000_ma_min_10.wav,anurans"
"anurans/LEEC05__0__20161103_221500_ma_min_02.wav,anurans"
"anurans/LEEC05__0__20161106_191500_ma_min_10.wav,anurans"
"anurans/LEEC05__0__20161109_221500_ma_min_10.wav,anurans"
"anurans/LEEC05__0__20161116_221500_ma_min_10.wav,anurans"
"anurans/LEEC05__0__20161203_191500_aa_min_02.wav,anurans"
"anurans/LEEC05__0__20161207_204500_aa_min_10.wav,anurans"
"anurans/LEEC05__0__20161207_221500_aa_min_02.wav,anurans"
"anurans/LEEC05__0__20161208_213000_aa_min_02.wav,anurans"
"anurans/LEEC05__0__20161209_183000_aa_min_10.wav,anurans"
"anurans/LEEC05__0__20161210_191500_aa_min_10.wav,anurans"
"anurans/LEEC05__0__20161212_183000_aa_min_10.wav,anurans"
"anurans/LEEC05__0__20161212_200000_aa_min_10.wav,anurans"
"anurans/LEEC05__0__20161213_183000_aa_min_02.wav,anurans"
"anurans/LEEC05__0__20161213_200000_aa_min_10.wav,anurans"
"anurans/LEEC05__0__20161214_213000_aa_min_10.wav,anurans"
"anurans/LEEC05__0__20161215_204500_aa_min_02.wav,anurans"
"anurans/LEEC05__0__20161215_221500_aa_min_02.wav,anurans"
"anurans/LEEC05__0__20161216_221500_aa_min_10.wav,anurans"
"anurans/LEEC05__0__20161221_183000_aa_min_10.wav,anurans"
"anurans/LEEC05__0__20161221_200000_aa_min_02.wav,anurans"
"anurans/LEEC05__0__20161226_200000_aa_min_10.wav,anurans"
"anurans/LEEC05__0__20161228_191500_aa_min_02.wav,anurans"
